Degree,MaxKeys,TotalTime(s),InsertionsPerSecond
4,3,5.394,556173
6,5,3.673,816771
8,7,2.943,1019367
10,9,2.477,1211142
12,11,2.248,1334519
14,13,2.064,1453488
16,15,1.91,1570680
18,17,1.811,1656543
20,19,1.794,1672240
22,21,1.636,1833740
24,23,1.607,1866832
26,25,1.551,1934235
28,27,1.452,2066115
30,29,1.443,2079002
32,31,1.472,2038043
34,33,1.435,2090592
36,35,1.4,2142857
38,37,1.388,2161383
40,39,1.395,2150537
42,41,1.339,2240477
44,43,1.353,2217294
46,45,1.333,2250562
48,47,1.306,2297090
50,49,1.278,2347417
52,51,1.253,2394253
54,53,1.243,2413515
56,55,1.224,2450980
58,57,1.208,2483443
60,59,1.168,2568493
62,61,1.228,2442996
64,63,1.264,2373417
66,65,1.177,2548853
68,67,1.153,2601908
70,69,1.13,2654867
72,71,1.164,2577319
74,73,1.166,2572898
76,75,1.128,2659574
78,77,1.125,2666666
80,79,1.131,2652519
82,81,1.143,2624671
84,83,1.129,2657218
86,85,1.111,2700270
88,87,1.112,2697841
90,89,1.149,2610966
92,91,1.087,2759889
94,93,1.092,2747252
96,95,1.074,2793296
98,97,1.079,2780352
100,99,1.059,2832861
